url	first_seen	portal	title	company	status	location	fingerprint	posted_at	trust_score	trust_flags	normalized_company
https://careers-cotiviti.icims.com/jobs/19797/senior-generative-ai-scientist-i/job	2026-07-29	icims-full	Senior Generative AI Scientist I	cotiviti	added			2026-07-28			cotiviti
https://welocalize.wd1.myworkdayjobs.com/welocalize/job/Asia-Remote/Senior-Project-Manager---Generative-AI-Data-Operations_R0007679	2026-07-29	workday-full	Senior Project Manager - Generative AI Data Operations	welocalize	added	Asia (Remote)		2026-07-28			welocalize
https://welocalize.wd1.myworkdayjobs.com/welocalize/job/Asia-Remote/Senior-Project-Manager---Generative-AI-Data-Operations_R0007681	2026-07-29	workday-full	Senior Project Manager - Generative AI Data Operations	welocalize	added	Asia (Remote)		2026-07-28			welocalize
https://jobs.ashbyhq.com/neara/9b470204-6e9c-4c90-bc8c-1ba51a174668	2026-07-29	ashby-full	Principal Research Scientist - Risk	neara	added	New York City		2026-07-29			neara
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Technical-Program-Manager--GenAI-and-Models_JR2022028	2026-07-29	workday-api	Senior Technical Program Manager, GenAI and Models	NVIDIA	added	2 Locations		2026-07-29			nvidia
https://harbourvest.wd5.myworkdayjobs.com/hvp/job/Boston/Quantitative-Researcher_R1741	2026-07-29	workday-full	Senior Associate, Quantitative Researcher, Private Equity Co-Investments (Boston, London or Dublin)	harbourvest	added	3 Locations		2026-07-28			harbourvest
https://harbourvest.wd5.myworkdayjobs.com/hvp/job/Boston/Quantitative-Researcher--Evergreen-Portfolio-Management_R1857	2026-07-29	workday-full	Vice President, Quantitative Researcher, Evergreen Portfolio Management	harbourvest	added	2 Locations		2026-07-28			harbourvest
https://godirect.wd5.myworkdayjobs.com/voya_jobs/job/New-York-NY/AVP--Applied-AI---Engineering_JR0032818	2026-07-29	workday-full	AVP, Applied AI & Engineering	godirect	added	New York, NY		2026-07-28			godirect
https://jj.wd5.myworkdayjobs.com/noncompetetivehiring/job/Danvers-Massachusetts-United-States-of-America/Senior-Clinical-Research-Scientist_R-089343	2026-07-29	workday-full	Senior Clinical Research Scientist	jj	added	Danvers, Massachusetts, United States of America		2026-07-28			jj
https://jj.wd5.myworkdayjobs.com/displacedemployees/job/Danvers-Massachusetts-United-States-of-America/Senior-Clinical-Research-Scientist_R-089343-1	2026-07-29	workday-full	Senior Clinical Research Scientist	jj	added	Danvers, Massachusetts, United States of America		2026-07-28			jj
https://jj.wd5.myworkdayjobs.com/displacedemployees/job/Raritan-New-Jersey-United-States-of-America/Sr-Director--Data---Agentic-AI-Experience--Orthopedics_R-090500	2026-07-29	workday-full	Sr. Director, Data & Agentic AI Experience, Orthopedics	jj	added	Raritan, New Jersey, United States of America		2026-07-28			jj
https://www.amazon.jobs/en/jobs/10487025/sr-applied-scientist-cait	2026-07-29	amazon-api	Sr. Applied Scientist, CAIT	Amazon Web Services, Inc.	added	Seattle, Washington, USA		2026-07-29			amazon web services
